id,entity_id,CategoryName,sku,name,description,shortdesc,price,link,image,Brand,Rating,CaffeineType,Count,Flavored,Seasonal,Instock,Facebook,IsKCup
1041,2830,"",18106,"","","",37.95,http://www.coffeeforless.com/aloha-island-100-pure-estate-hazelnut-kona-coffee-pods-18ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-hazelnut-kona-coffee-pods-box_3.jpg,"",0,Caffeinated,18,Yes,No,No,1,""
1042,2831,"",24106,"","","",44.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-hazelnut-kona-coffee-pods-24ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-hazelnut-kona-coffee-pods-box_1.jpg,"",0,Caffeinated,24,Yes,No,No,1,""
1043,2832,"",36106,"","","",72,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-hazelnut-kona-coffee-pods-36ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-hazelnut-kona-coffee-pods-box_2.jpg,"",0,Caffeinated,36,Yes,No,No,1,""
1044,2833,"",48106,"","","",81.95,http://www.coffeeforless.com/aloha-island-coffee-100-pure-estate-hazelnut-kona-coffee-pods-48ct-box.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-hazelnut-kona-coffee-pods-box.jpg,"",0,Caffeinated,48,Yes,No,No,1,""
1045,2845,"",18108,"","","",37.95,http://www.coffeeforless.com/aloha-island-100-pure-estate-french-vanilla-kona-coffee-pods-18ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-kona-french-vanilla-coffee-pods-18-ct_1.png,"",0,Caffeinated,18,Yes,No,No,1,""
1046,2846,"",24108,"","","",44.95,http://www.coffeeforless.com/aloha-island-100-pure-estate-french-vanilla-kona-coffee-pods-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-french-vanilla-kona-coffee-pods-box_2.jpg,"",0,Caffeinated,24,Yes,No,No,1,""
1047,2847,"",36108,"","","",72.95,http://www.coffeeforless.com/aloha-island-100-pure-estate-french-vanilla-kona-coffee-pods-36ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-coffee-artisan-organic-french-vanilla-kona-coffee-pods-box_1.jpg,"",0,Caffeinated,36,Yes,No,No,1,""
1048,2848,"",48108,"","","",81.95,http://www.coffeeforless.com/aloha-island-100-pure-estate-french-vanilla-kona-coffee-pods-48ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-kona-french-vanilla-coffee-pods-48-ct.png,"",0,Caffeinated,48,Yes,No,No,1,""
1049,2854,"",0,"","","",33.95,http://www.coffeeforless.com/aloha-island-hawaiian-ground-coffee-sampler-5-2oz-bags.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/HTBSampler.Red.250.jpg,"",0,Caffeinated,0,No,No,Yes,1,""
1050,2860,"",12300,"","","",23.95,http://www.coffeeforless.com/aloha-island-variety-pack-kona-blend-coffee-pods-12ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-kona-variety-pack-coffee-pods-12ct.png,"",0,Caffeinated,12,"",No,Yes,1,""
1051,2861,"",18300,"","","",26.95,http://www.coffeeforless.com/aloha-island-variety-pack-kona-blend-coffee-pods-18ct.html,http://mcdn.coffeeforless.com/media/catalog/product//a/l/aloha-island-kona-variety-pack-coffee-pods-18ct.png,"",0,Caffeinated,18,"",No,Yes,1,""
